city,property_condition,building_size_m2,certificate,electricity_power,district,bathrooms,building_age,description,floor_count,carports,bedrooms,title,price_in_rp,land_size_m2,location,url
Bandung,,110 m²,SHM,2200 Watt,Soekarno Hatta,2,,"Dijual :
Jarang ada
Rumah sangat terawat
Lokasi 1 gate 
Jalan depan rumah ada jalur pemisah
Dekat masjid
Dekat atau sebelah ke Metro Indah Mall
Harga masih nego",1,1,3,Rumah Sangat Terawat Lokasi Super Nyaman di Margahayu Raya,"Rp 1,45 Miliar",143 m²,"Soekarno Hatta, Bandung",https://www.rumah123.com/properti/bandung/hos17166903/
Bekasi,Bagus,53 m²,HGB,2200 Watt,Harapan Indah,1,,"Cluster Ubud Bekasi
Babelan - Kabupaten Bekasi

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHGB
LT 78
LB 53
2 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
2 menit ke SDIT Attaqwa 02)

4 menit ke Bimbel Nurul Fikri - Sektor 5

5 menit ke Kagum Institute For Children

5 menit ke Sekolah Islam Terpadu Assuadaa

7 menit ke Pondok Pesantren Attaqwa Putra

6 menit ke Pasar Pondok Ungu Permai

11 menit ke Pasar Marpungngah

13 menit ke Plaza Taman Harapan Baru

21 menit ke Modern Shopping

4 menit ke RSIA Viola

10 menit ke RS Taman Harapan Baru

14 menit ke RS.Muhammad Fadhil

20 menit ke Primaya Hospital Bekasi Utara

22 menit ke Rumah Sakit Tiara Bekasi

14 menit ke Terminal Bayangan Musholla Al - Jihad

19 menit ke Terminal Bayangan Taruna Jaya

22 menit ke Terminal Seroja

23 menit ke Terminal Bayangan Perjuangan 1

30 menit ke Stasiun Kranji 2

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2,,2,Rumah Hadap Utara 13 menit ke Plaza Taman Harapan Baru Dibantu KPR J22157,Rp 590 Juta,78 m²,"Harapan Indah, Bekasi",https://www.rumah123.com/properti/bekasi/hos38968444/
Bogor,Bagus,100 m²,SHM,2200 Watt,Cibubur,2,,"Kota Wisata Cluster Vancouver
Cileungsi - Kabupaten Bogor

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 120
LB 100
2 Lantai
3 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
9 menit ke SD Nurul Hikmah
10 menit ke SMA Negeri 15 Bekasi
15 menit ke SDN Cileungsi 10
15 menit ke SMPN 3 Cileungsi
15 menit ke SMAN 1 Cileungsi
35 menit ke SDN Bambu Apus 01

15 menit ke Metropolitan Mall Cibubur
20 menit ke Mall Ciputra Cibubur
20 menit ke Pasar Cileungsi
20 menit ke Pasar Bantargebang
25 menit ke Trans Studio Mall Cibubur
25 menit ke Grand Mall Cimanggis

7 menit ke RS MH Thamrin Cileungsi-Radjak Hospital
10 menit ke Rumah Sakit Sismadi, Cileungsi
10 menit ke Puskesmas Ciangsana
10 menit ke Puskesmas Griya Alam Sentosa
10 menit ke Puskesmas Ciketing Udik
15 menit ke Rumah Sakit Umum Mary Cileungsi
15 menit ke RS Hermina Mekarsari

10 menit ke Gerbang TOL Nagrak
15 menit ke Terminal Cileungsi
20 menit ke Stasiun Harjamukti
20 menit ke Gerbang Tol Jatikarya 2
20 menit ke Gerbang Tol Cimanggis 2
25 menit ke Gerbang Tol Cimanggis 3
25 menit ke Gerbang Tol Cimanggis 5
25 menit ke Stasiun Ciracas
25 menit ke Stasiun Kampung Rambutan

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2,,3,Rumah LT 120 Hadap Selatan 15 menit ke Metropolitan Mall Cibubur J33551,"Rp 2,04 Miliar",120 m²,"Cibubur, Bogor",https://www.rumah123.com/properti/bogor/hos39351133/
Bogor,Bagus,36 m²,HGB,1300 Watt,Bojong Gede,1,,"Grahapura Kemang 2
Kemang - Kabupaten Bogor

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
SHGB
LT 60
LB 36
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air Tanah
Hadap Selatan

Fasilitas Sekitar Hunian:
7 Menit ke SMPN 1 KEMANG
8 Menit ke SMP Chandra Buana Bogor
10 Menit ke SMAN 1 Kemang
10 Menit ke SD Negeri Pondok Udik
10 Menit ke SDN Jampang 03
15 Menit ke SD Marsudirini Bogor
15 Menit ke SD Pengembangan Insani
15 Menit ke SD Negeri Sri Murni
15 Menit ke SMA Marsudirini Bogor

20 Menit ke Pasar Rakyat Kemang

10 Menit ke Puskesmas Jampang
10 Menit ke Puskesmas Pusdik Mubarak
15 Menit ke Puskesmas Cibeuteung Udik

15 Menit ke Terminal Cimulang
30 Menit ke Terminal Ciampea
30 Menit ke Gerbang Toll Kayu Manis 1
30 Menit ke Gerbang Tol Sentul Barat
35 Menit ke Gerbang Tol Sentul Selatan 2
35 Menit ke Stasiun Bojong Gede
35 Menit ke Stasiun Cilebut
40 Menit ke Stasiun Citayam

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah Minimalis Murah Akses Dekat Stasiun Bojong Gede DP Ringan J-22673,Rp 340 Juta,60 m²,"Bojong Gede, Bogor",https://www.rumah123.com/properti/bogor/hos39293477/
Depok,Bagus,36 m²,SHM,Lainnya,Bojong Sari,1,,"Perumahan Sawangan Hill 3
Sawangan - Kota Depok

SHM
LT 176
LB 36
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
4 menit ke Sekolah Menengah Atas (SMA) Negeri 10 Depok
15 menit ke SMP Negeri 18 Depok
15 menit ke SMP Muhammadiyah 19 Sawangan
20 menit ke SD Negeri Parung Bingung 2
20 menit ke SD Negeri Rangkapan Jaya Baru
25 menit ke Sekolah Dasar Negeri Meruyung

10 menit ke Mall The Park Sawangan
15 menit ke Pasar Reni Jaya Lama Depok
20 menit ke Pasar Pagi Pondok Benda
25 menit ke Mall Pamulang Square

7 menit ke RS Brawijaya Depok
8 menit ke Puskesmas Parung
10 menit ke RSUD Kota Depok
15 menit ke RS Mitra Keluarga Pamulang

7 menit ke Terminal Parung
20 menit ke Gerbang Tol Sawangan 4
20 menit ke Gerbang Tol Pamulang
30 menit ke Gerbang Tol Krukut 2
35 menit ke Stasiun Citayam
35 menit ke Stasiun Depok Baru

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah Hook 1 Lantai 7 menit ke RS Brawijaya Depok Hadap Utara J25852,Rp 840 Juta,176 m²,"Bojong Sari, Depok",https://www.rumah123.com/properti/depok/hos39296796/
Depok,Bagus,240 m²,SHM,2200 Watt,Cinere,2,,"Bumi Pusaka Cinere
Cinere - Kota Depok

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHM
LT 170
LB 240
2 Lantai
5 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Timur

Fasilitas Sekitar Hunian:
2 menit ke Sd Negeri Gandul 2
3 menit ke Sekolah Dasar Negeri Gandul 1
5 menit ke Sekolah Dasar Negeri Cinere 1
6 menit ke Sekolah Dasar Negeri Cinere 2
6 menit ke Sekolah Dasar Negeri Gandul 02
8 menit ke SMP Negeri 21 Depok
8 menit ke SMP Negeri 17 Depok
10 menit ke SMA Negeri 9 Depok
10 menit ke SMA NEGERI 34 Jakarta

3 menit ke Pasar Gandul Modern
4 menit ke Pasar Segar Cinere
5 menit ke Living Plaza Cinere
7 menit ke Mal Cinere
10 menit ke Cinere Bellevue Mall

5 menit ke Uptd Puskesmas Tapos
8 menit ke UPTD Puskesmas Cinere
8 menit ke Rumah Sakit Puri Cinere
10 menit ke Rumah Sakit Ibu Dan Anak Andhika
10 menit ke Rumah Sakit Prikasih
10 menit ke Puskesmas Kec Jagakarsa

6 menit ke Gerbang Tol Brigif 4
6 menit ke Gerbang Tol Brigif
8 menit ke Gerbang Tol Krukut 2
10 menit ke Gerbang Tol Brigif 1
15 menit ke Gerbang Tol Ampera 2
15 menit ke Stasiun Lebak Bulus Grab
15 menit ke Terminal Ragunan
20 menit ke Gerbang Tol Fatmawati 2
20 menit ke Stasiun Fatmawati
20 menit ke Stasiun Pondok Cina
20 menit ke Terminal Pondok Cabe

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2,,5,Rumah Luas Strategis 10 menit ke Cinere Bellevue Mall Hadap Timur J11267,"Rp 2,77 Miliar",170 m²,"Cinere, Depok",https://www.rumah123.com/properti/depok/hos39292101/
Bekasi,Bagus,250 m²,SHM,3500 Watt,Harapan Indah,4,,"Metland Menteng Cakung
Cakung - Kota Jakarta Timur

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 160
LB 250
3 Lantai
4 Kamar Tidur
4 Kamar Mandi
Listrik 3500 VA
Sumber Air PDAM
Hadap Barat

Fasilitas Sekitar Hunian:
2 Menit ke Sekolah Dasar Negeri Ujung Menteng 01 Pagi
3 Menit ke SDN 02 Pagi Ujung Menteng
3 Menit ke Sekolah Dasar Negeri Ujung Menteng 06 Petang
3 Menit ke SMP ypia Al Falah Ujung Menteng
4 Menit ke SDN Ujung Menteng 04 Pagi
9 Menit ke SD, SMP, SMA Kristen Penabur
10 Menit ke SMA Negeri 10 Bekasi

7 Menit ke Mall Grand Cakung
8 Menit ke Living Plaza - Kota Harapan Indah
8 Menit ke Ramayana Harapan Indah Bekasi
8 Menit ke Courts Harapan Indah

7 Menit ke Puskesmas Ujung Menteng
10 Menit ke RS Citra Harapan
10 Menit ke Puskesmas Medan Satria
10 Menit ke Puskesmas Pejuang
10 Menit ke Puskesmas Kelurahan Cakung Barat

3 Menit ke Terminal Pulogebang
10 Menit ke Terminal Pasar Modern Harapan Indah
10 Menit ke Gerbang Tol Cakung 2
10 Menit ke Gerbang Tol Cakung 1
15 Menit ke Gerbang Tol SEMPER 1
20 Menit ke Gerbang Tol Kalimalang 1
30 Menit ke Gerbang Tol Cakung (JTD)


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",3,,4,Rumah Luas SHM 10 Menit ke RS Citra Harapan Siap Huni Bebas Banjir J-24933,"Rp 3,43 Miliar",160 m²,"Harapan Indah, Bekasi",https://www.rumah123.com/properti/bekasi/hos39315541/
Bekasi,Bagus,150 m²,SHM,Lainnya,Jatibening,2,,"Perumahan Jatibening Estate
Pondokgede - Kota Bekasi

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 175
LB 150
2 Lantai
4 Kamar Tidur
2 Kamar Mandi

Fasilitas Sekitar Hunian:
2 Menit ke SMP Islam Al Alaq

5 Menit ke SD Al-Azhar 23

8 Menit ke SDIT Al Muzzammil

8 Menit ke SMPN 23 Bekasi

15 Menit ke SMA 17 Bekasi Selatan

1 Menit ke Pasar Mediterania Jatimakmur

10 Menit ke Mall Pondok Gede

10 Menit ke ITC Pondok Gede

15 Menit ke Pasar Pondok Gede

20 Menit ke Mall Tamini Square

1 Menit ke Puskesmas JatiMakmur

5 Menit ke RS Masmitra JatiMakmur

5 Menit ke Klinik Pratama Djanti Medika

10 Menit ke RS Helsa Jati rahayu

15 Menit ke RS Mitra Keluarga JatiAsih

10 Menit ke Halte Transjakarta Pondok Gede

10 Menit ke Gerbang Tol Pondok Gede Timur 2

15 Menit ke Gerbang Tol Jakasampurna

20 Menit ke Gerbang Tol Jatiwarna

25 Menit ke Terminal Pinang Ranti



hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2,,4,Rumah 4 KT Siap Huni 10 Menit ke RS Helsa Jati Rahayu Bebas Banjir J29024,"Rp 1,47 Miliar",175 m²,"Jatibening, Bekasi",https://www.rumah123.com/properti/bekasi/hos39296900/
Bogor,Bagus,60 m²,SHM,900 Watt,Kota Wisata,1,,"Griya Alam Sentosa
Cileungsi, Bogor, Jawa Barat

*Bisa Nego
*Menerima Cash
*Bisa Dibantu KPR
*Menyediakan full furniture (sesuai permintaan customer)

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHM
LT 60
LB 60
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 900 VA
Sumber Air Tanah
Hadap Barat

Fasilitas Sekitar Hunian:
4 Menit ke SDIT Bina Prestasi Cileungsi
5 Menit ke SD Bintang Timur
5 Menit ke SDN Cinyosog 02
5 Menit ke SMPN 3 Cileungsi
6 Menit ke SD Muhammadiyah 2 Cileungsi
6 Menit ke Muhammadiyah 2 Junior High School Cileungsi
15 Menit ke SMA Negeri 15 Bekasi
15 Menit ke SMAN 2 Cileungsi

4 Menit ke Pasar Tradisional Bunderan 2

6 Menit ke Puskesmas Griya Alam Sentosa
10 Menit ke Puskesmas Pasir Angin
15 Menit ke Puskesmas Ciketing Udik

15 Menit ke Gerbang Tol Narogong
15 Menit ke Gerbang Tol GTO Burangkeng
20 Menit ke Terminal Cileungsi
30 Menit ke Gerbang Tol Jatikarya 2
40 Menit ke Gerbang Tol Jatikarya 1


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah Siap Huni 400jtan Dibantu KPR 15 Mnt ke Living World Kota Wisata Bisa Nego J24051,Rp 390 Juta,60 m²,"Kota Wisata, Bogor",https://www.rumah123.com/properti/bogor/hos18493737/
Bekasi,Bagus,50 m²,SHM,1300 Watt,Cikarang,1,,"Central Park Cikarang
Cikarang Utara - Kabupaten Bekasi

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 72
LB 50
1 Lantai
2 Kamar Tidur
1 Kamar Pembantu
1 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
10 menit ke SD Negeri 01 Simpangan
10 menit ke SD Negeri Karang Rahayu 02
10 menit ke SMP Negeri 2 Cikarang Utara
15 menit ke SD Negeri Tanjung Sari 02
15 menit ke SD Negeri Sukaraya 06
15 menit ke SMP Islam Al-Azhar 16 Cikarang
15 menit ke SMA N 2 CIKARANG UTARA
15 menit ke SMA Santo Leo III
20 menit ke SMP Negeri 5 Cikarang Utara
20 menit ke SMAN 1 Cikarang Utara

5 menit ke Pasar Pagi Bundaran
7 menit ke Pasar Lemah Abang
10 menit ke Pasar Tradisional Simpangan
20 menit ke Sentra Grosir Cikarang

5 menit ke Puskesmas waluya
10 menit ke Puskesmas Kecamatan Cipayung
10 menit ke Puskesmas Lemahabang
10 menit ke Rumah Sakit Annisa Cikarang
15 menit ke Rumah Sakit Asri Medika
15 menit ke Rumah Sakit Permata Keluarga Jababeka

7 menit ke Terminal Lemah Abang
10 menit ke Stasiun Lemah Abang
20 menit ke Stasiun Cikarang
20 menit ke Stasiun Kedunggedeh
25 menit ke Terminal Bis Cikarang
30 menit ke Gerbang Tol Cikarang Barat 4
30 menit ke Gerbang Tol Telaga Asih
30 menit ke Gerbang Tol Cibitung 2
35 menit ke Stasiun Cibitung

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah Minimalis 10 menit ke Stasiun Lemah Abang 1 Lt Bebas Banjir J13901,Rp 560 Juta,72 m²,"Cikarang, Bekasi",https://www.rumah123.com/properti/bekasi/hos39291633/
Depok,Bagus,600 m²,SHM,7700 Watt,Cinere,4,,"*SPESIFIKASI TAMBAHAN*
1. Lantai bawah terdiri dari:
=> 1 Ruang tamu;
=> 2 Ruang keluarga;
=> 1 Ruang makan;
=> 2 Kamar tidur;
=> 1 Kamar mandi;
=> 1 Dapur kering;
=> 1 Dapur basah;
=> Service area yang terdiri dari: 
• 2 Kamar ART;
• 1 Kamar mandi;
• 1 Ruang pantry
2. Lantai atas terdiri dari:
=> 1 Ruang keluarga
=> 1 Kamar tidur utama yang sangat luas yang di dalamnya ada kamar mandi luas, ruang wardrobe, dan balkon
=> 2 Kamar tidur ukuran masing-masing kurang lebih 4 x 4 m²
=> 1 Kamar mandi
=> 1 Teras/balkon yang mengarah ke bagian depan rumah
3. Semi Furnished, diantaranya:
✓ Lemari-lemari besar
✓ TV berukuran besar di ruang keluarga bawah
✓ Beberapa furniture relevan lainnya

*FASILITAS*
~ Posisi rumah menghadap taman yang terawat dengan luas sekitar 2.500 m² dan dikelilingi jalan
~ Di bagian kiri dan kanan rumah bisa digunakan akses parkir dengan kapasitas minimal 30 mobil",2,3,5,Rumah 2 Lantai Semi Furnished Siap Huni Lingkungan Asri Tenang,Rp 9 Miliar,420 m²,"Cinere, Depok",https://www.rumah123.com/properti/depok/hos17764409/
Bogor,Renovasi Minimum,90 m²,SHM,1300 Watt,Sentul City,2,,"Beberapa alasan mengapa membeli property di kawasan Sentul City ini :
- Investasi menjanjikan pertahun 20%-30%.
- Sertifikat terjamin.
- Exit tol Sentul City langsung menuju area kawasan perumahan.
- Aman (one gate, one cluster security 24 jam).
- Udara bersih, sejuk, segar.
- Kontur tanah berbukit (upslope, level, downslope).
- Bebas banjir areal luas 3100 hektar.
- View indah (golf, danau, sungai pegunungan).
- Nilai investasi rumah Bellanova, IKEA, RS EMC Sentul, Wisata Jungle Land, Pasar Ah poong Sentul, Eco Park, Sentul Highlands Golf Club, Taman Budaya Edutainment Centre, SICC Sentul, Hotel Harris, Wattana Hotel, Savana Hotel, Sampoerna Academy, Sekolah Pelita Harapan, BPK Penabur Fajar Hidayah, Universitas Trisakti, Universitas Tazkia

Kita juga melayani untuk pembangunan, renovasi, perencanaan pembangunan, dan lain-lain di kawasan Sentul City dan sekitarnya.",1,1,3,Dijual Rumah Asri Hadap Green Area Cluster Taman Yunani,"Rp 1,7 Miliar",208 m²,"Sentul City, Bogor",https://www.rumah123.com/properti/bogor/hos15852801/
Jakarta Barat,Bagus,129 m²,SHM,Lainnya,Citra Garden,3,,"Dijual Rumah Citra 2
Jakarta Barat Kalideres
Lt: 90m2 (6*15)
Lb: 129m2
Harga: 2.65m Nego

Spesifikasi:
Kmr tidur: 3
Kmr mandi: 3
Listrik: 5500VA
Hadap: Utara-Timur
Lebar jalan muat 2 mobil

Include:
Smart door lock
AC 2 unit baru 2pk & 1pk
Kompor tanam rinai + Kitchen Sink
Toren Air
Closet KOHLER + Toto
Shower + Cabinet + Wastafel baru
Water heater 2 unit
Full kusen dan pintu aluminium",2,1,3,Rumah Citra Garden 2 Siap Huni Lokasi Strategis 2 Lantai Sudah Shm,"Rp 2,65 Miliar",90 m²,"Citra Garden, Jakarta Barat",https://www.rumah123.com/properti/jakarta-barat/hos38857986/
Depok,Bagus,158 m²,SHM,4400 Watt,Citayam,4,,"The Mampang Icon
Pancoran Mas - Kota Depok

SHM
LT 86
LB 158
2 Lantai
5 Kamar Tidur
4 Kamar Mandi
Listrik 4400 VA
Sumber Air Tanah
Hadap Barat

Fasilitas Sekitar Hunian:
2 Menit ke SDN 1 Mampang Depok
3 Menit ke SDN Mampang 3
4 Menit ke SD Negeri Mampang 2
5 Menit ke Sekolah Dasar Negeri Rangkapanjaya
5 Menit ke SMP Islam Ghama Al Fatih Depok
7 Menit ke SMA Cakra Buana Depok
8 Menit ke SMP PRISMA DEPOK
8 Menit ke Sekolah Dasar Muhammadiyah 10 Depok

5 Menit ke DTC (Depok Town Center)
10 Menit ke Pasar Depok Jaya
15 Menit ke Depok ITC
20 Menit ke D'Mall Depok
20 Menit ke Mall Pesona Square
25 Menit ke The Park Sawangan

6 Menit ke Rumah Sakit Syar'i
8 Menit ke RSU.Bhakti Yudha
8 Menit ke Puskesmas Mampang
10 Menit ke RS Anak Negeri
10 Menit ke RSIA ASYIFA DEPOK
10 Menit ke UPTD Puskesmas Depok Jaya
15 Menit ke Puskesmas Pancoran Mas

15 Menit ke Terminal Sawangan
15 Menit ke Terminal Gedoran Depok Margonda
15 Menit ke Gerbang Tol Kukusan 1
20 Menit ke Stasiun Depok
20 Menit ke Stasiun Pondok Cina


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",2,,5,Rumah 5 KT Siap Huni Dekat Citayam 15 Menit ke Terminal Baru Renov J28779,"Rp 1,79 Miliar",86 m²,"Citayam, Depok",https://www.rumah123.com/properti/depok/hos39342013/
Bekasi,Bagus,240 m²,HGB,4400 Watt,Bekasi,4,,"Jalan Merak Bekasi
Cikarang Utara - Kabupaten Bekasi

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHGB
LT 120
LB 240
3 Lantai
4 Kamar Tidur
4 Kamar Mandi
Listrik 4400 VA
Sumber Air PDAM
Hadap Selatan

Fasilitas Sekitar Hunian:
4 Menit ke SMA Negeri 1 Cikarang Pusat
7 Menit ke SD ISLAM NADINDRA
7 Menit ke SMP Negeri 4 Cikarang Selatan
8 Menit ke SDN JAYAMUKTI 04
8 Menit ke SMA Cikarang Utara
9 Menit ke SDN Pasirsari 04
10 Menit ke SDN Sertajaya 05

4 Menit ke Pasar Bersih Cikarang

2 Menit ke RS Pinangsia
6 Menit ke Puskesmas Desa CIBATU
19 Menit ke Puskesmas Pembantu Sertajaya
15 Menit ke Puskesmas Pembantu Pasirtanjung
15 Menit ke Puskesmas Telaga Murni

9 Menit ke Gerbang Jababeka
15 Menit ke Gerbang Tol Cibatu
15 Menit ke Gerbang Tol Cikarang Utara
25 Menit ke Gerbang Tol Cibitung 2


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",3,,4,Rumah 3 Lt Hadap Selatan 15 Menit ke Gerbang Tol Cikarang Utara J27594,"Rp 1,05 Miliar",120 m²,"Bekasi, Bekasi",https://www.rumah123.com/properti/bekasi/hos39332139/
Depok,Bagus,75 m²,SHM,Lainnya,Sawangan,1,,"Trevista Serua
Bojongsari - Kota Depok

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 91
LB 75
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Sumber Air Tanah
Hadap Barat Daya

Fasilitas Sekitar Hunian:
1 Menit ke Sekolah Dasar Negeri Serua 03
3 Menit ke SMP Islam Az-Zahra Depok
4 Menit ke SD Negeri Pondok Petir 1
4 Menit ke SD Tadika Puri Depok
7 Menit ke Sekolah Menengah Atas Muhammadiyah 25 Pamulang

6 Menit ke Pasar Reni Jaya Lama Depok
8 Menit ke The Park Sawangan
10 Menit ke Pasar Kita Pamulang Kota
10 Menit ke Pamulang Square
20 Menit ke Mall Paradise Walk Serpong
30 Menit ke Cinere Bellevue Mall
30 Menit ke Bintaro Jaya Xchange Mall

2 Menit ke Puskesmas Bojongsari
8 Menit ke PUSKESMAS KEDAUNG
8 Menit ke RS Mitra Keluarga Pamulang
10 Menit ke Puskesmas Pamulang Timur
10 Menit ke RSIA Permata Sarana Husada
15 Menit ke RSIA. Buah Hati Pamulang
15 Menit ke RS.Permata Pamulang
15 Menit ke RSIA Vitalaya

9 Menit ke Terminal Pondok Cabe
15 Menit ke Gerbang Toll Limo Utama
15 Menit ke Gerbang Toll Limo 1
20 Menit ke Gerbang Tol Serpong 7
20 Menit ke Gerbang Tol Brigif 4
25 Menit ke Gerbang Tol Brigif 1
25 Menit ke Stasiun Jurang Mangu
30 Menit ke Stasiun Sudimara
35 Menit ke Stasiun Serpong


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah SHM 8 Menit ke The Park Sawangan Dibantu KPR J24429,"Rp 1,02 Miliar",91 m²,"Sawangan, Depok",https://www.rumah123.com/properti/depok/hos39297591/
Depok,Bagus,64 m²,SHM,2200 Watt,Pancoran Mas,1,,"Perumahan Dealova Residence
Pancoran Mas - Kota Depok

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 94
LB 64
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Selatan

Fasilitas Sekitar Hunian:
5 Menit ke SMP Permata Depok
5 Menit ke Sekolah Cakra Buana
6 Menit ke SMA Cakra Buana Depok
6 Menit ke Sekolah Dasar Negeri Pitara 2
7 Menit ke SMA Muhammadiyah 1
8 Menit ke SD Negeri Depok Baru 3
8 Menit ke SD Negeri Depok Baru 1
8 Menit ke SDN Pancoran Mas 3
9 Menit ke SMP PRISMA DEPOK
9 Menit ke PG/TK-SD-SMP SANTA THERESIA

4 Menit ke Pasadena Sawangan Depok
8 Menit ke DTC (Depok Town Center)
10 Menit ke Pasar Depok Jaya
10 Menit ke Pasar Kemiri Depok
15 Menit ke Depok ITC
15 Menit ke D'Mall Depok

10 Menit ke UPTD Puskesmas Depok Jaya
10 Menit ke Puskesmas Mampang
10 Menit ke Puskesmas Pancoran Mas

10 Menit ke Terminal Gedoran Depok Margonda
15 Menit ke Gerbang Tol Kukusan 3
15 Menit ke Gerbang Tol Kukusan 4
15 Menit ke Gerbang Tol Margonda 3
15 Menit ke Stasiun Depok
15 Menit ke Terminal Sawangan
25 Menit ke Gerbang Toll Limo 1


hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1,,2,Rumah LT 94 Hadap Selatan Siap KPR 15 Menit ke Gerbang Tol Kukusan 3 J27801,Rp 830 Juta,94 m²,"Pancoran Mas, Depok",https://www.rumah123.com/properti/depok/hos39297635/
